"VteID";"DtVte";"Canal";"StatutCde";"ProdID";"Qt";"TxRem";"MttBrutTTC";"MttTTcNet";"CstLigne";"MagID";"VndID";"CustNo"
"V001586";"08-07-2024";"Magasin";"LIVREE";"P0061";"3";"0,00";"420,00";"420,00";"226,41";"M03";"V07";"C0202"
"V001587";"08-07-2024";"Magasin";"LIVREE";"P0055";"2";"0,00";"80,00";"80,00";"38,42";"M23";"V56";"C0127"
"V001588";"08-07-2024";"web";"Livree";"P0030";"2";"0,00";"530,00";"530,00";"251,98";"M19";"V47";"C0021"
"V001589";"08-07-2024";"MAGASIN";"Livree";"P0057";"1";"10,00";"20,00";"18,00";"10,89";"M19";"V47";"C0094"
"V001590";"08-07-2024";"WEB";"LIVREE";"P0063";"2";"10,00";"210,00";"189,00";"116,42";"M19";"V47";"C0017"
"V001591";"08-07-2024";"web";"Livree";"P0041";"1";"5,00";"2225,00";"2113,75";"1348,70";"M02";"V04";"C0046"
"V001592";"08-07-2024";"web";"Livree";"P0055";"1";"0,00";"40,00";"40,00";"19,21";"M06";"V12";"C0195"
"V001593";"08-07-2024";"Magasin";"Livree";"P0033";"2";"5,00";"100,00";"95,00";"45,46";"M07";"V14";"C0163"
"V001594";"09-07-2024";"Magasin";"Livree";"P0063";"1";"0,00";"105,00";"105,00";"58,21";"M13";"V30";"C0105"
"V001595";"09-07-2024";"magasin";"livree";"P0048";"3";"10,00";"5280,00";"4752,00";"2837,28";"M17";"V40";"C0002"
"V001596";"09-07-2024";"Magasin";"Annulee";"P0031";"1";"0,00";"150,00";"150,00";"92,24";"M10";"V21";"C0044"
"V001597";"09-07-2024";"MAGASIN";"EnCours";"P0054";"1";"0,00";"160,00";"160,00";"77,44";"M12";"V26";"C0132"
"V001598";"09-07-2024";"MAGASIN";"livree";"P0064";"1";"0,00";"70,00";"70,00";"35,86";"M04";"V09";"C0074"
"V001599";"09-07-2024";"magasin";"livree";"P0038";"1";"0,00";"230,00";"230,00";"119,32";"M01";"V03";"C0069"
"V001600";"09-07-2024";"MAGASIN";"livree";"P0057";"1";"0,00";"20,00";"20,00";"10,89";"M23";"V56";"C0184"
"V001601";"09-07-2024";"MAGASIN";"LIVREE";"P0042";"3";"0,00";"6135,00";"6135,00";"3709,92";"M14";"V32";"C0191"
"V001602";"09-07-2024";"WEB";"Livree";"P0061";"1";"0,00";"140,00";"140,00";"75,47";"M21";"V51";"C0143"
"V001603";"09-07-2024";"Magasin";"Livree";"P0034";"1";"0,00";"200,00";"200,00";"118,44";"M03";"V06";"C0030"
"V001604";"09-07-2024";"Magasin";"Livree";"P0040";"2";"0,00";"3820,00";"3820,00";"2077,84";"M15";"V36";"C0002"
"V001605";"10-07-2024";"Magasin";"Livree";"P0052";"1";"0,00";"135,00";"135,00";"72,51";"M16";"V39";"C0188"
"V001606";"10-07-2024";"Magasin";"Livree";"P0061";"3";"0,00";"420,00";"420,00";"226,41";"M06";"V13";"C0053"
"V001607";"10-07-2024";"MAGASIN";"encours";"P0042";"2";"5,00";"4090,00";"3885,50";"2473,28";"M23";"V56";"C0132"
"V001608";"10-07-2024";"MAGASIN";"EnCours";"P0044";"1";"0,00";"1800,00";"1800,00";"1053,21";"M21";"V52";"C0078"
"V001609";"10-07-2024";"web";"LIVREE";"P0061";"4";"10,00";"560,00";"504,00";"301,88";"M04";"V09";"C0018"
"V001610";"10-07-2024";"Magasin";"Livree";"P0063";"1";"0,00";"105,00";"105,00";"58,21";"M12";"V28";"C0052"
"V001611";"10-07-2024";"Magasin";"Livree";"P0050";"1";"5,00";"230,00";"218,50";"115,83";"M22";"V53";"C0132"
"V001612";"10-07-2024";"Web";"LIVREE";"P0050";"3";"0,00";"690,00";"690,00";"347,49";"M06";"V13";"C0146"
"V001613";"10-07-2024";"Magasin";"encours";"P0051";"1";"5,00";"155,00";"147,25";"77,85";"M10";"V20";"C0219"
"V001614";"11-07-2024";"Web";"EnCours";"P0054";"2";"5,00";"320,00";"304,00";"154,88";"M18";"V44";"C0041"
"V001615";"11-07-2024";"Magasin";"LIVREE";"P0058";"1";"0,00";"65,00";"65,00";"31,31";"M25";"V60";"C0211"
"V001616";"11-07-2024";"WEB";"livree";"P0041";"1";"0,00";"2225,00";"2225,00";"1348,70";"M25";"V59";"C0191"
"V001617";"11-07-2024";"web";"Livree";"P0025";"2";"0,00";"110,00";"110,00";"64,74";"M21";"V51";"C0132"
"V001618";"11-07-2024";"Magasin";"Livree";"P0050";"1";"0,00";"230,00";"230,00";"115,83";"M24";"V57";"C0036"
"V001619";"11-07-2024";"Magasin";"encours";"P0047";"2";"0,00";"3330,00";"3330,00";"2008,14";"M16";"V37";"C0034"
"V001620";"12-07-2024";"Magasin";"encours";"P0060";"3";"5,00";"120,00";"114,00";"61,38";"M12";"V28";"C0129"
"V001621";"12-07-2024";"magasin";"Livree";"P0051";"1";"0,00";"155,00";"155,00";"77,85";"M06";"V13";"C0157"
"V001622";"12-07-2024";"web";"Livree";"P0047";"3";"0,00";"4995,00";"4995,00";"3012,21";"M12";"V27";"C0063"
"V001623";"13-07-2024";"Magasin";"LIVREE";"P0027";"1";"0,00";"220,00";"220,00";"106,66";"M05";"V11";"C0162"
"V001624";"13-07-2024";"Magasin";"Livree";"P0040";"1";"5,00";"1910,00";"1814,50";"1038,92";"M11";"V23";"C0096"
"V001625";"13-07-2024";"Web";"Livree";"P0063";"1";"0,00";"105,00";"105,00";"58,21";"M06";"V13";"C0058"
"V001626";"13-07-2024";"web";"EnCours";"P0042";"1";"0,00";"2045,00";"2045,00";"1236,64";"M17";"V40";"C0099"
"V001627";"13-07-2024";"Magasin";"LIVREE";"P0025";"2";"10,00";"110,00";"99,00";"64,74";"M03";"V06";"C0002"
"V001628";"13-07-2024";"magasin";"LIVREE";"P0016";"1";"0,00";"385,00";"385,00";"178,74";"M02";"V04";"C0049"
"V001629";"13-07-2024";"Magasin";"Livree";"P0043";"1";"0,00";"2230,00";"2230,00";"1198,97";"M20";"V50";"C0131"
"V001630";"13-07-2024";"Web";"Livree";"P0054";"2";"0,00";"320,00";"320,00";"154,88";"M08";"V17";"C0102"
"V001631";"14-07-2024";"MAGASIN";"Annulee";"P0035";"1";"0,00";"170,00";"170,00";"91,98";"M19";"V45";"C0098"
"V001632";"14-07-2024";"Web";"livree";"P0031";"1";"0,00";"150,00";"150,00";"92,24";"M23";"V55";"C0005"
"V001633";"14-07-2024";"web";"livree";"P0044";"1";"10,00";"1800,00";"1620,00";"1053,21";"M18";"V44";"C0127"
"V001634";"14-07-2024";"Magasin";"LIVREE";"P0053";"1";"5,00";"155,00";"147,25";"83,01";"M06";"V13";"C0045"
"V001635";"14-07-2024";"web";"livree";"P0034";"1";"0,00";"200,00";"200,00";"118,44";"M06";"V12";"C0117"
"V001636";"14-07-2024";"MAGASIN";"Annulee";"P0052";"1";"5,00";"135,00";"128,25";"72,51";"M25";"V59";"C0018"
"V001637";"14-07-2024";"magasin";"livree";"P0039";"2";"10,00";"2970,00";"2673,00";"1347,02";"M03";"V07";"C0162"
"V001638";"14-07-2024";"Magasin";"Livree";"P0064";"2";"0,00";"140,00";"140,00";"71,72";"M16";"V39";"C0081"
"V001639";"14-07-2024";"MAGASIN";"LIVREE";"P0035";"1";"5,00";"170,00";"161,50";"91,98";"M11";"V25";"C0116"
"V001640";"14-07-2024";"Magasin";"LIVREE";"P0047";"2";"5,00";"3330,00";"3163,50";"2008,14";"M04";"V09";"C0002"
"V001641";"14-07-2024";"magasin";"LIVREE";"P0040";"1";"0,00";"1910,00";"1910,00";"1038,92";"M03";"V06";"C0217"
"V001642";"14-07-2024";"Magasin";"Livree";"P0043";"2";"0,00";"4460,00";"4460,00";"2397,94";"M20";"V48";"C0019"
"V001643";"14-07-2024";"MAGASIN";"LIVREE";"P0056";"1";"0,00";"25,00";"25,00";"12,15";"M01";"V03";"C0044"
"V001644";"15-07-2024";"Magasin";"livree";"P0031";"1";"0,00";"150,00";"150,00";"92,24";"M23";"V55";"C0168"
"V001645";"15-07-2024";"WEB";"encours";"P0004";"3";"10,00";"2880,00";"2592,00";"1685,61";"M04";"V08";"C0129"
"V001646";"15-07-2024";"Magasin";"Livree";"P0054";"1";"0,00";"160,00";"160,00";"77,44";"M25";"V60";"C0158"
"V001647";"15-07-2024";"MAGASIN";"Livree";"P0062";"1";"0,00";"130,00";"130,00";"66,13";"M14";"V33";"C0094"
"V001648";"15-07-2024";"web";"Livree";"P0054";"4";"0,00";"640,00";"640,00";"309,76";"M05";"V11";"C0158"
"V001649";"15-07-2024";"Magasin";"livree";"P0025";"1";"0,00";"55,00";"55,00";"32,37";"M09";"V19";"C0022"
"V001650";"16-07-2024";"MAGASIN";"encours";"P0036";"3";"0,00";"315,00";"315,00";"173,73";"M02";"V05";"C0004"
"V001651";"16-07-2024";"MAGASIN";"Livree";"P0045";"2";"5,00";"650,00";"617,50";"298,38";"M11";"V24";"C0117"
"V001652";"16-07-2024";"Magasin";"Livree";"P0031";"2";"0,00";"300,00";"300,00";"184,48";"M07";"V14";"C0112"
"V001653";"16-07-2024";"MAGASIN";"Annulee";"P0044";"1";"0,00";"1800,00";"1800,00";"1053,21";"M09";"V18";"C0006"
"V001654";"16-07-2024";"magasin";"livree";"P0045";"3";"0,00";"975,00";"975,00";"447,57";"M03";"V06";"C0091"
"V001655";"16-07-2024";"web";"Annulee";"P0057";"2";"5,00";"40,00";"38,00";"21,78";"M25";"V59";"C0177"
"V001656";"16-07-2024";"Magasin";"Livree";"P0058";"3";"0,00";"195,00";"195,00";"93,93";"M12";"V26";"C0143"
"V001657";"16-07-2024";"Magasin";"livree";"P0045";"2";"0,00";"650,00";"650,00";"298,38";"M02";"V04";"C0151"
"V001658";"16-07-2024";"MAGASIN";"LIVREE";"P0041";"2";"0,00";"4450,00";"4450,00";"2697,40";"M01";"V01";"C0180"
"V001659";"16-07-2024";"MAGASIN";"LIVREE";"P0048";"2";"0,00";"3520,00";"3520,00";"1891,52";"M08";"V17";"C0085"
"V001660";"16-07-2024";"magasin";"Livree";"P0060";"1";"0,00";"40,00";"40,00";"20,46";"M11";"V24";"C0173"
"V001661";"16-07-2024";"magasin";"Annulee";"P0033";"1";"0,00";"50,00";"50,00";"22,73";"M13";"V30";"C0069"
"V001662";"16-07-2024";"magasin";"LIVREE";"P0060";"1";"0,00";"40,00";"40,00";"20,46";"M08";"V16";"C0141"
"V001663";"17-07-2024";"Magasin";"LIVREE";"P0044";"2";"0,00";"3600,00";"3600,00";"2106,42";"M18";"V44";"C0029"
"V001664";"17-07-2024";"Magasin";"Livree";"P0052";"1";"0,00";"135,00";"135,00";"72,51";"M23";"V56";"C0023"
"V001665";"17-07-2024";"web";"encours";"P0027";"1";"5,00";"220,00";"209,00";"106,66";"M04";"V08";"C0210"
"V001666";"17-07-2024";"web";"Livree";"P0012";"1";"0,00";"1010,00";"1010,00";"588,54";"M02";"V05";"C0082"
"V001667";"17-07-2024";"WEB";"Livree";"P0027";"2";"0,00";"440,00";"440,00";"213,32";"M01";"V03";"C0055"
"V001668";"17-07-2024";"Magasin";"Annulee";"P0030";"1";"0,00";"265,00";"265,00";"125,99";"M19";"V45";"C0090"
"V001669";"17-07-2024";"Magasin";"Livree";"P0062";"2";"0,00";"260,00";"260,00";"132,26";"M18";"V44";"C0125"
"V001670";"17-07-2024";"WEB";"encours";"P0056";"1";"5,00";"25,00";"23,75";"12,15";"M16";"V38";"C0029"
"V001671";"17-07-2024";"magasin";"LIVREE";"P0063";"1";"10,00";"105,00";"94,50";"58,21";"M21";"V51";"C0069"
"V001672";"17-07-2024";"MAGASIN";"Livree";"P0036";"1";"0,00";"105,00";"105,00";"57,91";"M11";"V25";"C0057"
"V001673";"17-07-2024";"web";"livree";"P0052";"4";"10,00";"540,00";"486,00";"290,04";"M23";"V56";"C0003"
"V001674";"17-07-2024";"magasin";"Livree";"P0042";"1";"0,00";"2045,00";"2045,00";"1236,64";"M17";"V40";"C0118"
"V001675";"18-07-2024";"MAGASIN";"Livree";"P0033";"1";"0,00";"50,00";"50,00";"22,73";"M12";"V27";"C0149"
"V001676";"18-07-2024";"WEB";"EnCours";"P0030";"3";"5,00";"795,00";"755,25";"377,97";"M18";"V43";"C0145"
"V001677";"18-07-2024";"web";"Livree";"P0044";"2";"10,00";"3600,00";"3240,00";"2106,42";"M19";"V45";"C0129"
"V001678";"18-07-2024";"Magasin";"LIVREE";"P0058";"3";"0,00";"195,00";"195,00";"93,93";"M20";"V48";"C0167"
"V001679";"18-07-2024";"MAGASIN";"Livree";"P0042";"2";"0,00";"4090,00";"4090,00";"2473,28";"M22";"V53";"C0168"
"V001680";"18-07-2024";"web";"LIVREE";"P0064";"3";"0,00";"210,00";"210,00";"107,58";"M05";"V10";"C0043"
"V001681";"19-07-2024";"magasin";"livree";"P0036";"1";"0,00";"105,00";"105,00";"57,91";"M05";"V10";"C0047"
"V001682";"19-07-2024";"magasin";"Livree";"P0056";"1";"5,00";"25,00";"23,75";"12,15";"M21";"V51";"C0009"
"V001683";"19-07-2024";"magasin";"livree";"P0036";"2";"10,00";"210,00";"189,00";"115,82";"M19";"V46";"C0086"
"V001684";"19-07-2024";"Magasin";"Livree";"P0029";"1";"0,00";"285,00";"285,00";"169,00";"M09";"V18";"C0103"
"V001685";"19-07-2024";"Magasin";"livree";"P0034";"2";"10,00";"400,00";"360,00";"236,88";"M11";"V25";"C0209"
"V001686";"19-07-2024";"magasin";"Livree";"P0061";"2";"0,00";"280,00";"280,00";"150,94";"M03";"V07";"C0110"
"V001687";"19-07-2024";"magasin";"livree";"P0027";"2";"5,00";"440,00";"418,00";"213,32";"M16";"V37";"C0008"
"V001688";"19-07-2024";"MAGASIN";"LIVREE";"P0028";"4";"0,00";"520,00";"520,00";"269,04";"M10";"V22";"C0171"
"V001689";"19-07-2024";"MAGASIN";"EnCours";"P0051";"1";"5,00";"155,00";"147,25";"77,85";"M22";"V53";"C0068"
"V001690";"19-07-2024";"Magasin";"EnCours";"P0034";"2";"10,00";"400,00";"360,00";"236,88";"M04";"V08";"C0151"
"V001691";"19-07-2024";"Magasin";"Livree";"P0061";"1";"5,00";"140,00";"133,00";"75,47";"M05";"V10";"C0071"
"V001692";"19-07-2024";"Magasin";"LIVREE";"P0048";"2";"0,00";"3520,00";"3520,00";"1891,52";"M03";"V07";"C0057"
"V001693";"20-07-2024";"MAGASIN";"Annulee";"P0049";"2";"5,00";"3540,00";"3363,00";"1596,14";"M24";"V57";"C0132"
"V001694";"20-07-2024";"MAGASIN";"Livree";"P0042";"3";"0,00";"6135,00";"6135,00";"3709,92";"M19";"V45";"C0042"
"V001695";"20-07-2024";"MAGASIN";"LIVREE";"P0025";"3";"0,00";"165,00";"165,00";"97,11";"M16";"V39";"C0156"
"V001696";"20-07-2024";"WEB";"Livree";"P0053";"3";"0,00";"465,00";"465,00";"249,03";"M06";"V13";"C0207"
"V001697";"20-07-2024";"Web";"LIVREE";"P0055";"2";"0,00";"80,00";"80,00";"38,42";"M13";"V29";"C0045"
"V001698";"20-07-2024";"Web";"LIVREE";"P0024";"1";"0,00";"770,00";"770,00";"465,89";"M03";"V06";"C0098"
"V001699";"20-07-2024";"magasin";"LIVREE";"P0063";"1";"0,00";"105,00";"105,00";"58,21";"M06";"V13";"C0144"
"V001700";"20-07-2024";"Web";"livree";"P0056";"1";"10,00";"25,00";"22,50";"12,15";"M12";"V26";"C0182"
"V001701";"21-07-2024";"Web";"EnCours";"P0026";"2";"0,00";"550,00";"550,00";"274,90";"M09";"V18";"C0142"
"V001702";"21-07-2024";"Magasin";"LIVREE";"P0027";"3";"0,00";"660,00";"660,00";"319,98";"M23";"V56";"C0107"
"V001703";"21-07-2024";"Magasin";"Livree";"P0049";"3";"0,00";"5310,00";"5310,00";"2394,21";"M16";"V37";"C0177"
"V001704";"21-07-2024";"Magasin";"livree";"P0003";"2";"0,00";"1420,00";"1420,00";"790,66";"M19";"V45";"C0071"
"V001705";"21-07-2024";"Magasin";"Annulee";"P0031";"2";"0,00";"300,00";"300,00";"184,48";"M03";"V06";"C0128"
"V001706";"21-07-2024";"magasin";"livree";"P0063";"1";"0,00";"105,00";"105,00";"58,21";"M12";"V27";"C0163"
"V001707";"21-07-2024";"MAGASIN";"LIVREE";"P0049";"2";"5,00";"3540,00";"3363,00";"1596,14";"M07";"V14";"C0015"
"V001708";"21-07-2024";"Magasin";"Annulee";"P0038";"2";"0,00";"460,00";"460,00";"238,64";"M13";"V29";"C0024"
"V001709";"21-07-2024";"Magasin";"livree";"P0041";"1";"0,00";"2225,00";"2225,00";"1348,70";"M22";"V53";"C0043"
"V001710";"22-07-2024";"Magasin";"livree";"P0063";"1";"5,00";"105,00";"99,75";"58,21";"M07";"V15";"C0127"
"V001711";"22-07-2024";"MAGASIN";"Livree";"P0039";"1";"5,00";"1485,00";"1410,75";"673,51";"M09";"V19";"C0077"
"V001712";"22-07-2024";"Magasin";"Livree";"P0059";"1";"5,00";"40,00";"38,00";"19,23";"M12";"V28";"C0160"
"V001713";"22-07-2024";"Magasin";"Livree";"P0059";"3";"0,00";"120,00";"120,00";"57,69";"M08";"V17";"C0206"
"V001714";"22-07-2024";"web";"Livree";"P0018";"2";"0,00";"1730,00";"1730,00";"882,22";"M02";"V05";"C0205"
"V001715";"22-07-2024";"web";"LIVREE";"P0060";"1";"5,00";"40,00";"38,00";"20,46";"M17";"V41";"C0113"
"V001716";"22-07-2024";"MAGASIN";"Livree";"P0053";"1";"0,00";"155,00";"155,00";"83,01";"M03";"V06";"C0168"
"V001717";"23-07-2024";"Magasin";"LIVREE";"P0044";"2";"0,00";"3600,00";"3600,00";"2106,42";"M06";"V13";"C0183"
"V001718";"23-07-2024";"WEB";"Livree";"P0025";"3";"0,00";"165,00";"165,00";"97,11";"M13";"V29";"C0021"
"V001719";"23-07-2024";"Magasin";"Livree";"P0025";"1";"0,00";"55,00";"55,00";"32,37";"M05";"V11";"C0175"
"V001720";"23-07-2024";"MAGASIN";"Livree";"P0004";"2";"10,00";"1920,00";"1728,00";"1123,74";"M08";"V17";"C0154"
"V001721";"23-07-2024";"Magasin";"livree";"P0042";"3";"0,00";"6135,00";"6135,00";"3709,92";"M13";"V31";"C0007"
"V001722";"23-07-2024";"Web";"LIVREE";"P0033";"2";"0,00";"100,00";"100,00";"45,46";"M16";"V38";"C0076"
"V001723";"23-07-2024";"MAGASIN";"Livree";"P0053";"1";"0,00";"155,00";"155,00";"83,01";"M25";"V59";"C0123"
"V001724";"23-07-2024";"web";"Livree";"P0052";"4";"0,00";"540,00";"540,00";"290,04";"M12";"V28";"C0211"
"V001725";"23-07-2024";"Magasin";"Livree";"P0041";"1";"0,00";"2225,00";"2225,00";"1348,70";"M22";"V53";"C0043"
"V001726";"24-07-2024";"Magasin";"livree";"P0039";"1";"0,00";"1485,00";"1485,00";"673,51";"M01";"V01";"C0134"
"V001727";"24-07-2024";"Magasin";"EnCours";"P0047";"1";"0,00";"1665,00";"1665,00";"1004,07";"M08";"V16";"C0079"
"V001728";"24-07-2024";"magasin";"encours";"P0040";"1";"5,00";"1910,00";"1814,50";"1038,92";"M07";"V15";"C0041"
"V001729";"24-07-2024";"magasin";"Livree";"P0040";"1";"0,00";"1910,00";"1910,00";"1038,92";"M19";"V47";"C0123"
"V001730";"24-07-2024";"MAGASIN";"livree";"P0055";"1";"10,00";"40,00";"36,00";"19,21";"M19";"V46";"C0046"
"V001731";"24-07-2024";"Magasin";"Livree";"P0032";"1";"10,00";"190,00";"171,00";"108,18";"M23";"V56";"C0052"
"V001732";"24-07-2024";"web";"Livree";"P0053";"1";"0,00";"155,00";"155,00";"83,01";"M23";"V56";"C0095"
"V001733";"24-07-2024";"Magasin";"Livree";"P0064";"1";"0,00";"70,00";"70,00";"35,86";"M04";"V08";"C0155"
"V001734";"24-07-2024";"magasin";"Livree";"P0064";"3";"0,00";"210,00";"210,00";"107,58";"M09";"V18";"C0206"
"V001735";"25-07-2024";"WEB";"Livree";"P0058";"1";"0,00";"65,00";"65,00";"31,31";"M16";"V38";"C0058"
"V001736";"25-07-2024";"MAGASIN";"Livree";"P0060";"1";"10,00";"40,00";"36,00";"20,46";"M25";"V59";"C0075"
"V001737";"25-07-2024";"Magasin";"Annulee";"P0033";"2";"0,00";"100,00";"100,00";"45,46";"M01";"V03";"C0122"
"V001738";"25-07-2024";"Web";"Livree";"P0050";"2";"10,00";"460,00";"414,00";"231,66";"M11";"V25";"C0208"
"V001739";"25-07-2024";"web";"Livree";"P0049";"1";"0,00";"1770,00";"1770,00";"798,07";"M02";"V05";"C0135"
"V001740";"25-07-2024";"Magasin";"livree";"P0043";"2";"0,00";"4460,00";"4460,00";"2397,94";"M20";"V49";"C0106"
"V001741";"25-07-2024";"Web";"livree";"P0036";"1";"0,00";"105,00";"105,00";"57,91";"M09";"V18";"C0153"
"V001742";"25-07-2024";"web";"LIVREE";"P0036";"1";"5,00";"105,00";"99,75";"57,91";"M10";"V21";"C0128"
"V001743";"25-07-2024";"web";"EnCours";"P0047";"1";"10,00";"1665,00";"1498,50";"1004,07";"M03";"V06";"C0084"
"V001744";"25-07-2024";"MAGASIN";"Livree";"P0043";"1";"5,00";"2230,00";"2118,50";"1198,97";"M13";"V30";"C0142"
"V001745";"25-07-2024";"web";"Livree";"P0037";"1";"5,00";"230,00";"218,50";"115,95";"M13";"V29";"C0149"
"V001746";"25-07-2024";"Magasin";"Livree";"P0041";"2";"5,00";"4450,00";"4227,50";"2697,40";"M14";"V33";"C0068"
"V001747";"25-07-2024";"Web";"Livree";"P0049";"2";"0,00";"3540,00";"3540,00";"1596,14";"M15";"V34";"C0046"
"V001748";"25-07-2024";"Magasin";"LIVREE";"P0042";"1";"0,00";"2045,00";"2045,00";"1236,64";"M21";"V52";"C0063"
"V001749";"26-07-2024";"Magasin";"LIVREE";"P0049";"2";"0,00";"3540,00";"3540,00";"1596,14";"M04";"V09";"C0122"
"V001750";"26-07-2024";"Magasin";"LIVREE";"P0050";"3";"5,00";"690,00";"655,50";"347,49";"M20";"V48";"C0194"
"V001751";"26-07-2024";"magasin";"Livree";"P0043";"1";"10,00";"2230,00";"2007,00";"1198,97";"M05";"V11";"C0181"
"V001752";"26-07-2024";"Magasin";"Livree";"P0018";"1";"0,00";"865,00";"865,00";"441,11";"M14";"V33";"C0215"
"V001753";"26-07-2024";"magasin";"Livree";"P0056";"1";"0,00";"25,00";"25,00";"12,15";"M10";"V20";"C0198"
"V001754";"26-07-2024";"WEB";"livree";"P0023";"1";"10,00";"700,00";"630,00";"404,57";"M25";"V59";"C0061"
"V001755";"26-07-2024";"Magasin";"LIVREE";"P0039";"2";"0,00";"2970,00";"2970,00";"1347,02";"M03";"V06";"C0168"
"V001756";"26-07-2024";"Magasin";"livree";"P0058";"1";"0,00";"65,00";"65,00";"31,31";"M07";"V14";"C0172"
"V001757";"26-07-2024";"Magasin";"Livree";"P0043";"1";"0,00";"2230,00";"2230,00";"1198,97";"M21";"V51";"C0115"
"V001758";"26-07-2024";"Magasin";"LIVREE";"P0054";"1";"0,00";"160,00";"160,00";"77,44";"M23";"V55";"C0128"
"V001759";"26-07-2024";"Magasin";"Livree";"P0059";"2";"0,00";"80,00";"80,00";"38,46";"M10";"V22";"C0050"
"V001760";"27-07-2024";"Magasin";"livree";"P0048";"1";"0,00";"1760,00";"1760,00";"945,76";"M04";"V09";"C0137"
"V001761";"27-07-2024";"Web";"livree";"P0054";"4";"10,00";"640,00";"576,00";"309,76";"M19";"V46";"C0068"
"V001762";"27-07-2024";"Magasin";"Livree";"P0058";"1";"10,00";"65,00";"58,50";"31,31";"M05";"V10";"C0106"
"V001763";"27-07-2024";"magasin";"Livree";"P0060";"1";"0,00";"40,00";"40,00";"20,46";"M08";"V16";"C0132"
"V001764";"27-07-2024";"MAGASIN";"EnCours";"P0039";"1";"0,00";"1485,00";"1485,00";"673,51";"M10";"V21";"C0068"
"V001765";"27-07-2024";"Magasin";"livree";"P0057";"1";"5,00";"20,00";"19,00";"10,89";"M06";"V12";"C0192"
"V001766";"27-07-2024";"Magasin";"Livree";"P0053";"2";"0,00";"310,00";"310,00";"166,02";"M19";"V47";"C0132"
"V001767";"27-07-2024";"magasin";"LIVREE";"P0009";"1";"0,00";"505,00";"505,00";"297,17";"M01";"V03";"C0217"
"V001768";"27-07-2024";"Web";"Livree";"P0044";"1";"5,00";"1800,00";"1710,00";"1053,21";"M14";"V32";"C0172"
"V001769";"27-07-2024";"magasin";"Livree";"P0063";"4";"5,00";"420,00";"399,00";"232,84";"M09";"V19";"C0021"
"V001770";"28-07-2024";"WEB";"Livree";"P0040";"3";"0,00";"5730,00";"5730,00";"3116,76";"M18";"V44";"C0173"
"V001771";"28-07-2024";"magasin";"Livree";"P0046";"4";"0,00";"4140,00";"4140,00";"2461,44";"M08";"V17";"C0108"
"V001772";"28-07-2024";"Magasin";"encours";"P0030";"3";"5,00";"795,00";"755,25";"377,97";"M25";"V60";"C0208"
"V001773";"28-07-2024";"MAGASIN";"livree";"P0044";"3";"0,00";"5400,00";"5400,00";"3159,63";"M11";"V25";"C0071"
"V001774";"28-07-2024";"magasin";"Livree";"P0044";"1";"0,00";"1800,00";"1800,00";"1053,21";"M23";"V56";"C0105"
"V001775";"28-07-2024";"WEB";"Livree";"P0058";"3";"0,00";"195,00";"195,00";"93,93";"M14";"V33";"C0094"
"V001776";"28-07-2024";"Magasin";"LIVREE";"P0049";"1";"0,00";"1770,00";"1770,00";"798,07";"M08";"V16";"C0131"
"V001777";"28-07-2024";"Magasin";"Annulee";"P0055";"1";"0,00";"40,00";"40,00";"19,21";"M22";"V54";"C0050"
"V001778";"28-07-2024";"MAGASIN";"livree";"P0061";"1";"5,00";"140,00";"133,00";"75,47";"M21";"V52";"C0142"
"V001779";"29-07-2024";"MAGASIN";"LIVREE";"P0057";"2";"0,00";"40,00";"40,00";"21,78";"M10";"V22";"C0196"
"V001780";"29-07-2024";"Web";"Livree";"P0027";"3";"5,00";"660,00";"627,00";"319,98";"M07";"V15";"C0044"
"V001781";"29-07-2024";"Magasin";"EnCours";"P0026";"1";"5,00";"275,00";"261,25";"137,45";"M19";"V46";"C0209"
"V001782";"29-07-2024";"Magasin";"encours";"P0063";"2";"0,00";"210,00";"210,00";"116,42";"M11";"V23";"C0108"
"V001783";"29-07-2024";"Magasin";"LIVREE";"P0063";"1";"0,00";"105,00";"105,00";"58,21";"M14";"V32";"C0014"
"V001784";"29-07-2024";"MAGASIN";"Livree";"P0061";"2";"0,00";"280,00";"280,00";"150,94";"M24";"V58";"C0131"
"V001785";"29-07-2024";"web";"livree";"P0026";"3";"0,00";"825,00";"825,00";"412,35";"M22";"V53";"C0078"
"V001786";"29-07-2024";"MAGASIN";"Livree";"P0048";"1";"0,00";"1760,00";"1760,00";"945,76";"M06";"V13";"C0154"
"V001787";"29-07-2024";"web";"Livree";"P0042";"2";"10,00";"4090,00";"3681,00";"2473,28";"M17";"V40";"C0061"
"V001788";"29-07-2024";"WEB";"LIVREE";"P0047";"1";"0,00";"1665,00";"1665,00";"1004,07";"M21";"V51";"C0034"
"V001789";"29-07-2024";"web";"LIVREE";"P0063";"2";"0,00";"210,00";"210,00";"116,42";"M03";"V06";"C0173"
"V001790";"29-07-2024";"MAGASIN";"EnCours";"P0046";"1";"5,00";"1035,00";"983,25";"615,36";"M17";"V40";"C0138"
"V001791";"29-07-2024";"MAGASIN";"Livree";"P0062";"3";"0,00";"390,00";"390,00";"198,39";"M07";"V15";"C0196"
"V001792";"30-07-2024";"web";"Livree";"P0052";"1";"10,00";"135,00";"121,50";"72,51";"M12";"V26";"C0092"
"V001793";"30-07-2024";"web";"Livree";"P0004";"1";"0,00";"960,00";"960,00";"561,87";"M23";"V55";"C0028"
